epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2650.16,1.11744,0.62378,0.97168,0.86854,0.83664,0.91927,0.60703,1.11048,0.58663,0.98221,0.0011882,0.0011882,0.0011882
43,2713.5,1.11077,0.61587,0.97137,0.88484,0.83159,0.91575,0.58834,1.17715,0.61757,0.98557,0.0011684,0.0011684,0.0011684
44,2776.02,1.11385,0.62185,0.97105,0.88865,0.8577,0.92635,0.62048,1.08251,0.59008,0.96941,0.0011486,0.0011486,0.0011486
45,2840.02,1.10794,0.61685,0.96825,0.89033,0.8564,0.92247,0.6181,1.08522,0.59382,0.97678,0.0011288,0.0011288,0.0011288
46,2904.65,1.10793,0.60853,0.97306,0.89583,0.83076,0.91875,0.61634,1.10652,0.5936,0.9754,0.001109,0.001109,0.001109
47,2967.89,1.10175,0.61574,0.96682,0.89762,0.82376,0.91738,0.60992,1.09562,0.59088,0.97209,0.0010892,0.0010892,0.0010892
48,3029.63,1.09541,0.61233,0.96508,0.89741,0.83365,0.92119,0.61627,1.07472,0.58056,0.97285,0.0010694,0.0010694,0.0010694
49,3092.11,1.08442,0.5926,0.96596,0.92391,0.82637,0.92197,0.63899,1.04593,0.55901,0.96487,0.0010496,0.0010496,0.0010496
50,3154.31,1.07624,0.59386,0.95902,0.8781,0.85901,0.92535,0.62578,1.07635,0.56759,0.97341,0.0010298,0.0010298,0.0010298
51,3219.17,1.09005,0.60742,0.96758,0.88942,0.84073,0.92274,0.62839,1.06048,0.58095,0.97171,0.00101,0.00101,0.00101
52,3282.28,1.0731,0.59081,0.9632,0.89249,0.84536,0.92905,0.63986,1.03098,0.55397,0.96009,0.0009902,0.0009902,0.0009902
53,3345.38,1.07829,0.59036,0.95855,0.88755,0.83551,0.92575,0.6246,1.0839,0.57469,0.9695,0.0009704,0.0009704,0.0009704
54,3407.89,1.07372,0.58563,0.9601,0.90799,0.83737,0.93051,0.62109,1.08352,0.58447,0.97092,0.0009506,0.0009506,0.0009506
55,3469.62,1.07285,0.58861,0.95711,0.89628,0.84204,0.92783,0.64207,1.0454,0.55567,0.96244,0.0009308,0.0009308,0.0009308
56,3532.93,1.05904,0.57366,0.95584,0.86588,0.88493,0.93171,0.64714,1.02795,0.55089,0.95281,0.000911,0.000911,0.000911
57,3594.2,1.06561,0.57992,0.95777,0.89603,0.84334,0.9312,0.63238,1.05614,0.56107,0.96433,0.0008912,0.0008912,0.0008912
58,3659.2,1.07195,0.58278,0.95658,0.89405,0.84073,0.92884,0.63531,1.05531,0.56122,0.96595,0.0008714,0.0008714,0.0008714
59,3721.36,1.05006,0.57772,0.95087,0.90157,0.82376,0.92603,0.63774,1.05911,0.56041,0.96551,0.0008516,0.0008516,0.0008516
60,3783.29,1.05362,0.57921,0.95452,0.90613,0.83173,0.92941,0.63879,1.04905,0.55243,0.96977,0.0008318,0.0008318,0.0008318
61,3846.54,1.05584,0.56869,0.9551,0.9181,0.84883,0.93889,0.63983,1.05086,0.54518,0.96632,0.000812,0.000812,0.000812
62,3908.48,1.04159,0.56825,0.94824,0.88141,0.85379,0.93248,0.63658,1.068,0.55681,0.96071,0.0007922,0.0007922,0.0007922
63,3969.52,1.03646,0.55801,0.949,0.88811,0.85509,0.92916,0.64997,1.03207,0.54899,0.95498,0.0007724,0.0007724,0.0007724
64,4033.84,1.05012,0.57425,0.95203,0.89347,0.85401,0.93168,0.64623,1.01033,0.54782,0.95051,0.0007526,0.0007526,0.0007526
65,4096.04,1.02773,0.55817,0.94673,0.91741,0.83551,0.928,0.64349,1.04888,0.54955,0.96889,0.0007328,0.0007328,0.0007328
66,4160.9,1.0191,0.55217,0.94239,0.89325,0.86684,0.93407,0.64813,1.02819,0.53766,0.95861,0.000713,0.000713,0.000713
67,4223.34,1.03894,0.56446,0.94769,0.88502,0.85417,0.92786,0.64592,1.01598,0.5448,0.95044,0.0006932,0.0006932,0.0006932
68,4286.27,1.04711,0.56432,0.95398,0.88288,0.86554,0.9322,0.64355,1.03514,0.54301,0.96104,0.0006734,0.0006734,0.0006734
69,4348.64,1.02577,0.56141,0.94545,0.8943,0.86162,0.93088,0.65557,1.0141,0.54056,0.94984,0.0006536,0.0006536,0.0006536
70,4411.18,1.0141,0.55053,0.94108,0.86782,0.86423,0.92889,0.649,1.02774,0.54165,0.95117,0.0006338,0.0006338,0.0006338
71,4475.92,1.02378,0.55097,0.9428,0.87973,0.88251,0.93706,0.6548,1.03127,0.53382,0.96553,0.000614,0.000614,0.000614
72,4538.48,1.02043,0.55456,0.94343,0.87207,0.87206,0.92382,0.64879,1.02433,0.53923,0.95973,0.0005942,0.0005942,0.0005942
73,4604.31,1.00936,0.54291,0.93878,0.88126,0.85263,0.93292,0.64585,1.03722,0.52964,0.95436,0.0005744,0.0005744,0.0005744
74,4667.76,1.00382,0.54005,0.93947,0.90877,0.8564,0.93557,0.65434,1.01563,0.52675,0.94866,0.0005546,0.0005546,0.0005546
75,4731.76,1.01138,0.54762,0.94058,0.86936,0.88642,0.93651,0.64962,1.01985,0.53178,0.95356,0.0005348,0.0005348,0.0005348
76,4794.2,1.00737,0.54256,0.93736,0.90386,0.84073,0.93241,0.65338,1.0125,0.52851,0.95565,0.000515,0.000515,0.000515
77,4856,0.99965,0.5357,0.93916,0.91497,0.83943,0.9347,0.66121,0.99794,0.52074,0.94389,0.0004952,0.0004952,0.0004952
78,4920.05,0.98976,0.53253,0.93389,0.90283,0.86423,0.93825,0.65871,1.00663,0.51719,0.95634,0.0004754,0.0004754,0.0004754
79,4982.65,0.99329,0.53412,0.93712,0.87894,0.86684,0.93533,0.6588,1.00994,0.51825,0.95314,0.0004556,0.0004556,0.0004556
80,5045.31,0.99136,0.53333,0.9373,0.8897,0.86349,0.93563,0.66468,1.00298,0.51764,0.9548,0.0004358,0.0004358,0.0004358
81,5108.74,0.98938,0.5211,0.93751,0.88797,0.8812,0.94228,0.65919,1.01081,0.51602,0.9537,0.000416,0.000416,0.000416
82,5171,0.9755,0.52492,0.92892,0.90022,0.84595,0.93409,0.66327,0.9937,0.51747,0.94618,0.0003962,0.0003962,0.0003962
83,5234.21,0.9883,0.52014,0.93379,0.87498,0.88381,0.93338,0.66022,1.02285,0.51488,0.95935,0.0003764,0.0003764,0.0003764
84,5297.16,0.97308,0.51394,0.93199,0.88782,0.86792,0.93516,0.66242,1.0132,0.51119,0.95951,0.0003566,0.0003566,0.0003566
85,5360.31,0.97056,0.51179,0.92924,0.88388,0.87728,0.93516,0.65758,1.01864,0.51305,0.95675,0.0003368,0.0003368,0.0003368
86,5422.52,0.97315,0.51182,0.93007,0.88496,0.87372,0.93536,0.66437,1.00043,0.51316,0.94678,0.000317,0.000317,0.000317
87,5485.92,0.96427,0.51119,0.92855,0.88169,0.87206,0.93149,0.66234,0.98776,0.5136,0.94876,0.0002972,0.0002972,0.0002972
88,5548.27,0.96704,0.51481,0.92608,0.8961,0.86684,0.93577,0.66469,1.00633,0.51484,0.95269,0.0002774,0.0002774,0.0002774
89,5611.44,0.9713,0.51617,0.92394,0.88998,0.87467,0.93399,0.66769,0.98381,0.50998,0.94256,0.0002576,0.0002576,0.0002576
90,5674.99,0.96554,0.51336,0.92575,0.88082,0.89034,0.93512,0.66831,0.99568,0.50732,0.95578,0.0002378,0.0002378,0.0002378
91,5738.72,0.96887,0.50831,0.9392,0.87582,0.87469,0.93359,0.65647,1.02279,0.51346,0.96164,0.000218,0.000218,0.000218
92,5797.11,0.94822,0.5,0.93101,0.87903,0.89164,0.93518,0.66609,0.99783,0.50866,0.95389,0.0001982,0.0001982,0.0001982
93,5854.23,0.9404,0.49025,0.92468,0.88486,0.89292,0.93619,0.66171,1.00959,0.50663,0.95574,0.0001784,0.0001784,0.0001784
94,5911.55,0.9418,0.49292,0.92508,0.88872,0.8812,0.9344,0.66959,0.99319,0.50646,0.9529,0.0001586,0.0001586,0.0001586
95,5969.75,0.93621,0.48745,0.92862,0.88917,0.87598,0.934,0.66954,0.99301,0.50313,0.94983,0.0001388,0.0001388,0.0001388
96,6027.7,0.93128,0.48152,0.92067,0.89157,0.88251,0.9356,0.66966,0.99209,0.50326,0.95152,0.000119,0.000119,0.000119
97,6085.54,0.93207,0.4879,0.92281,0.8968,0.88489,0.93817,0.6719,0.97939,0.49595,0.94855,9.92e-05,9.92e-05,9.92e-05
98,6144.16,0.93582,0.48655,0.93033,0.90879,0.87151,0.93509,0.66903,0.98973,0.49721,0.95422,7.94e-05,7.94e-05,7.94e-05
99,6203.48,0.92541,0.48338,0.91955,0.89488,0.87206,0.93598,0.67381,0.98708,0.49557,0.9564,5.96e-05,5.96e-05,5.96e-05
100,6262.4,0.92825,0.48088,0.92302,0.90192,0.86815,0.93431,0.67301,0.98596,0.49534,0.95486,3.98e-05,3.98e-05,3.98e-05
